EGR,FB,phi,AF,P,Tin,T,u,dF,hr,rhoGF,rhoGB,omega0,Yi_N2,Yi_O2,Yi_CH4,CH4,O2,CO,CO2,H2O,N2,Yi_H2,Yi_H,Yi_O,Yi_H2O,Yi_OH,Yi_CO,Yi_CO2,Yi_CH3,Yi_CH2O,Yi_C2H6,Yi_C2H2,Yi_CH2(L1),Yi_FCO2,Yi_FN2,Yi_FH2O
0.0,0.0,0.8049999999999998,1.2422360248447208,100000.00000000004,573.0,2186.289859877588,0.9324597149287944,0.00036701532774800316,5531585577.972141,0.5923610113718386,0.1546896991071447,175.16681630142494,0.732548197781556,0.22254353815017117,0.0449082640682729,2.2895712580901536e-19,0.03809679571465846,0.0024551874407807146,0.07491472744263024,0.1526372934733265,0.7256698240964755,,,,,,,,,,,,,,,
0.0,0.0,0.7050000000000001,1.4184397163120566,100000.00000000004,573.0,2047.798326543058,0.7386511256508514,0.00041686215576183474,3716993566.763118,0.5948173521032236,0.16617289491043935,110.49267411789188,0.7366577656658375,0.2237919990432645,0.03955023529089813,4.4076244089799776e-21,0.05747180696298771,0.000655323320308401,0.06789227840654738,0.13653345160045266,0.734239998580095,,,,,,,,,,,,,,,
0.0,0.0,0.6050000000000002,1.6528925619834705,100000.00000000003,573.0,1886.44751223561,0.5160330476999202,0.0005201838454753614,2026366646.8405318,0.5973221478108287,0.18130492105045162,56.39809226647593,0.7408137027224893,0.2250545465994766,0.03413175067803407,4.1213915687281544e-23,0.07794197314422958,0.00013232317783031842,0.05928745588567769,0.11909857684241609,0.7421622060540426,,,,,,,,,,,,,,,
0.1,0.0,0.7034085826428963,1.4216488463116692,100000.00000000004,573.0,2038.303587045575,0.7251436496976208,0.0004270315861721066,3506245906.5975137,0.5868618032059627,0.16477823941751857,103.9736574982269,0.7338615145713663,0.22259557991532183,0.039249994317880316,3.642428319747062e-21,0.05745021187892723,0.0006171015051091152,0.06770796707660728,0.13604596138021,0.7315273848389667,2.0189449122592117e-23,1.3804655277500585e-30,1.5214996442937129e-22,0.0003381863437292045,7.647134007638485e-16,4.638392530725081e-24,0.0004102692823991547,1.7848871164174516e-80,2.6012715372116956e-49,9.92500166412068e-133,4.494206750062415e-109,3.4998248800317807e-90,0.0004102692823991547,0.002795999943174207,0.0003381863437292045
0.1,0.0,0.6034145917001226,1.6572353631397887,100000.00000000007,573.0,1878.8529717633762,0.506761638349154,0.0005328537980133143,1914605951.812489,0.5894548538827153,0.17966681312999186,53.18374396718176,0.7383722559156767,0.22415859276007197,0.03390678390147047,3.307269117233039e-23,0.07792735472792629,0.00012202238629437224,0.059135377830652106,0.11870025564031114,0.7397666657792102,3.872881332185663e-24,1.8946224988267745e-31,4.4157370090319524e-23,0.0002532798872033264,3.0102593764872954e-16,7.3301300368486965e-25,0.0003072278351667633,7.160081770480658e-83,9.215928771844945e-51,1.2208676263230136e-136,2.28786352320131e-112,8.049359588043078e-93,0.0003072278351667633,0.0024413519780406004,0.0002532798872033264
0.2,0.0,0.7014289547621148,1.4256611353307247,100000.00000000003,573.0000000000001,2026.727191327422,0.7061558058765627,0.0004346694045667602,3346628688.0011706,0.586669354211504,0.1657320374901186,98.89970453105278,0.7304248826825919,0.22112521167844224,0.03888099317222174,2.8366097069295776e-21,0.05746190712583725,0.0005649576061983404,0.06744043130053312,0.1355043687832073,0.7281582229855641,3.990441810284087e-23,2.6007607914505212e-30,2.9980333441731744e-22,0.0007538565148516859,1.5761560365109533e-15,8.99355891058907e-24,0.0009144309588063037,2.554919368549905e-80,4.484019381674924e-49,1.1008194532471589e-132,5.401859817232077e-109,4.6720448433788435e-90,0.0009144309588063037,0.0062323375194267535,0.0007538565148516859
0.2,0.0,0.6014443373309137,1.6626642532504243,100000.00000000004,573.0,1869.2631060471122,0.4930166139229786,0.0005431883900291915,1827025886.8523438,0.5893926787187538,0.18059344521162532,50.60085732020108,0.735365197762828,0.22305508685250308,0.033629698294387084,2.5992360751653094e-23,0.07794066567481678,0.00011207256157535785,0.05890612608010686,0.1182461693036574,0.7367749556881958,8.298835303017427e-24,3.994718147271564e-31,9.452670252041167e-23,0.0005652165728973372,6.542452251204948e-16,1.5606636427955155e-24,0.0006856382334977417,1.3759221195093458e-82,1.8856977868541633e-50,2.1524380387791176e-136,4.144947362802709e-112,1.5108280185072398e-92,0.0006856382334977417,0.005448307477490858,0.0005652165728973372
0.0,0.0,0.9049999999999999,1.1049723756906078,100000.00000000004,573.0,2290.3094201516014,1.0758826873592031,0.000340753076149224,7104268317.202576,0.5899517810655428,0.1464626347794598,239.32010146177234,0.7284842273404409,0.221308929473715,0.050206843185844174,6.6758457958697825e-18,0.021232609184703943,0.007066857955035859,0.07873537210686846,0.1669916120274743,0.7157266379747588,,,,,,,,,,,,,,,
0.0,0.0,1.005,0.9950248756218907,100000.00000000009,573.0,2351.2855517401354,1.1630679750235373,0.0003272287905994371,8142016694.050072,0.5875883280046061,0.14105627180474634,291.5130204363079,0.7244650996441478,0.22008794374128254,0.05544695661456949,1.4066564832915071e-16,0.008665844257159255,0.016274210164992725,0.0774254190341261,0.17898911081370353,0.7037055737450458,,,,,,,,,,,,,,,
0.0,0.0,1.1049999999999998,0.9049773755656111,100000.00000000007,573.0,2355.71081580156,1.1788249097720804,0.00032282201039888293,8348593927.970277,0.5852693630144682,0.13865024044366103,317.5750694402081,0.7204900765579653,0.2188803567121878,0.06062956672984705,2.632410711248816e-15,0.002118230662314902,0.030892877488739288,0.07003226004357414,0.18663057816759143,0.689185078282103,,,,,,,,,,,,,,,
0.1,0.0,0.8036431835923509,1.244333331528948,100000.00000000004,573.0,2175.6577284353234,0.915228301631172,0.000376131355949482,5209354383.562349,0.584129109202681,0.15343748175913274,164.48480954091127,0.7294131085656472,0.221011278974109,0.04452389009963744,1.907379873119905e-19,0.03803698639549377,0.0023198673024394504,0.07474799340516824,0.1521318206498985,0.7226813530573667,3.995258427643615e-22,6.309125668048205e-29,1.8579220024168145e-21,0.00043322959434175716,4.304279028576392e-15,1.370179243163459e-22,0.0005252024442047028,6.636397212723213e-76,1.3132152661837544e-46,2.366803677125296e-125,9.69228496428015e-103,4.7670256802674824e-85,0.0005252024442047028,0.0031348582835089202,0.00043322959434175716
0.2,0.0,0.8019529251228984,1.2469559854111776,100000.00000000007,573.0,2162.868261945565,0.8916260534322399,0.00038302065147321736,4966950275.866841,0.5836057587486008,0.154375885906498,156.13996108874886,0.7255675501476694,0.2191317878501993,0.04405240839213002,1.507551326420412e-19,0.03798969491611891,0.002137362807992673,0.07453371670326628,0.15153586639083189,0.7190176576939662,6.773122222897141e-22,9.593172719345839e-29,3.128238520089225e-21,0.0009647109824884554,8.026499801557357e-15,2.2255367907996957e-22,0.0011693369660543337,5.4419763076523205e-76,1.638533522161057e-46,1.0946287378688958e-125,5.357053882260459e-103,3.33779738652764e-85,0.0011693369660543337,0.00698015771290766,0.0009647109824884554
0.0,0.0,1.2049999999999996,0.8298755186721994,100000.00000000007,573.0,2307.702906295057,1.1124414092281614,0.0003304149449057722,7573678793.186066,0.5829936412002484,0.1389047738197593,305.8742685446299,0.7165584360588824,0.21768594904037838,0.06575561490073939,3.682924490471711e-14,0.00035808266076230226,0.048120462831442265,0.05935168896976672,0.18789098338313281,0.6727103460343388,,,,,,,,,,,,,,,
0.2,0.0,0.9031426429205075,1.1072448055008046,100000.00000000004,573.0,2266.877589573447,1.0304848670511666,0.0003569534834450935,6342116265.124858,0.5798062018624814,0.1461577208775913,211.96320254183968,0.7207989321051184,0.2170852232544548,0.04914756546840023,4.722254792447733e-18,0.020849033790249053,0.006306720619844716,0.07869335499614184,0.16577597934309216,0.7087745529122529,7.44574954539989e-20,4.289075631372346e-26,1.652448089438443e-19,0.0011941116962684815,1.1544509199029944e-13,4.6755210112584754e-20,0.0014477957124297133,1.1857791333968887e-68,3.273115679229732e-42,7.632235638350212e-114,8.631676727859427e-93,6.269703617251147e-77,0.0014477957124297133,0.0076844643545148725,0.0011941116962684815
0.1,0.0,0.904176128625932,1.1059792095149543,100000.00000000007,573.0000000000001,2279.8135032082446,1.0495501250609178,0.0003486823462310707,6660866413.460422,0.5810734729446276,0.14527734565427153,223.8775047463374,0.7250293241144048,0.2194095720565648,0.04973063516981901,5.704795552782507e-18,0.021000970479271245,0.006732977866936321,0.07879657570563996,0.16633007723091675,0.7127021535929742,5.1255397382200005e-20,3.4942667008090816e-26,1.1466998815702858e-19,0.0005365455691982739,6.840720906034628e-14,3.442710390728391e-20,0.0006513321580718356,2.578041518037361e-68,3.674237303787858e-42,4.142269936611567e-113,3.495939827703098e-92,1.7428443173241926e-76,0.0006513321580718356,0.0034547132046026927,0.0005365455691982739
0.2,0.0,1.1127750857119667,0.8986541960185855,100000.00000000004,573.0,2325.3537499115805,1.1192577392884429,0.0003399106884797447,7316616627.171368,0.574123964261396,0.1387902407460531,275.81725314505934,0.7115818215306975,0.2134683175384348,0.05917513994196678,2.6518205956507716e-15,0.0017530011659492384,0.029990404958373074,0.0699366698372673,0.18491223403522333,0.6815543297504628,4.6663524762016295e-05,2.9686179764084e-18,3.087541438893298e-33,0.0014327932338459128,2.0051814927303008e-20,3.896115865548291e-05,0.0019584578757414354,6.99007618711371e-17,1.4900890013882732e-12,4.475153800021937e-11,6.718640883984223e-19,4.951480610361719e-32,0.0019584578757414354,0.008906594040066879,0.0014327932338459128
0.2,0.0,1.2183315177854899,0.8207946567923139,100000.00000000001,573.0,2271.2348245983962,1.0494374890268061,0.0003495632297474312,6536285848.213691,0.571279021427263,0.13936633084041344,261.5825982463288,0.7071488924803554,0.21196956578280657,0.06417399787876094,4.400140029892808e-14,0.00025571824210973444,0.047624344955925664,0.058714942604907366,0.18581138568653555,0.664268167917021,7.077904400609012e-05,6.5596807271727824e-18,7.790375402568709e-33,0.001470899268381251,3.5282187087586565e-20,6.844594004121921e-05,0.0021097014081928205,3.357896119878215e-16,3.854391114952494e-12,3.739234247962652e-10,5.921332982358781e-18,3.8910892974397884e-31,0.0021097014081928205,0.009407117143103235,0.001470899268381251
0.1,0.0,1.2110062826868462,0.825759547490795,100000.00000000004,573.0,2290.9383195191253,1.0847041187460718,0.0003407504960281735,7001110705.037094,0.5734757333569497,0.1381310406833923,281.6894096655967,0.7123156926993406,0.2151083969573491,0.06504060606292775,3.9227109907118334e-14,0.0003118415981474937,0.04791906624436089,0.059077622405706944,0.1868602288902431,0.6689548549151386,3.2707521785204945e-05,3.503709814843591e-18,4.872480492983643e-33,0.0006617136718153781,1.917369531634284e-20,3.259934791320354e-05,0.0009523830764771306,1.7078905252546057e-16,1.8719966738753763e-12,1.6334162348456503e-10,3.1134955711491237e-18,2.3606109708687023e-31,0.0009523830764771306,0.004241803748885467,0.0006617136718153781
0.2,0.0,1.0054471423721965,0.9945823682393241,100000.00000000003,573.0000000000001,2326.4550506130818,1.105669645579939,0.0003429588719754173,7183915407.298234,0.5749919768547919,0.1408854784353476,255.47999757849237,0.7161316797494534,0.21502477737818243,0.05417138853286762,1.148566884678387e-16,0.008062221799593964,0.015157460863373289,0.0777039178770348,0.17739885682879994,0.6966446453994695,3.0285485974171653e-06,2.844453148270907e-17,1.7128825276648208e-28,0.001424232003308637,8.337161190860175e-18,4.2348310103366136e-06,0.0017416924859165197,1.0975110846773939e-20,1.0997669194787793e-14,2.0918126137631653e-21,1.3637070168485033e-24,2.4080961668832184e-33,0.0017416924859165197,0.00833304198142763,0.001424232003308637
0.1,0.0,1.1084825138570786,0.9021342127629938,100000.00000000009,573.0,2341.6168895136498,1.1514952323462007,0.0003324008900009801,7758351549.608141,0.575950369018389,0.1377580821530928,294.1746689949173,0.7164776748496785,0.21644269803355468,0.05997367471801045,2.569678246218082e-15,0.0019765426002101645,0.030452427085906647,0.0700777237091102,0.18564706474698073,0.6859032735027913,2.1313343557421777e-05,1.8733519059952288e-18,2.9270039573124945e-33,0.0006449584221726726,1.3904797677876515e-20,1.9021685217257924e-05,0.0008820216249336068,4.2216384278153115e-17,8.172724264089815e-13,2.0743688754129372e-11,4.2934130215997305e-19,4.4652054541826044e-32,0.0008820216249336068,0.0040116572542083385,0.0006449584221726726
0.1,0.0,1.005200505032648,0.9948264002986358,100000.00000000001,573.0,2339.8785515774484,1.1333615750036112,0.00033561749612353854,7587482609.990328,0.5775811043899113,0.13999095061485986,271.08829711722893,0.7207155938419377,0.21780990461233105,0.05487304815311453,1.2682181394341072e-16,0.008384546565250822,0.015763929076541516,0.07762461027233593,0.17812908717686246,0.7006528647181088,1.3756350961946626e-06,1.8534154168956893e-17,1.7541061938941564e-28,0.000641005857247761,6.01642755070564e-18,2.0539855173697325e-06,0.000783439870177943,6.006420280363031e-21,5.6566331655904285e-15,7.454486502764439e-22,7.614658284345015e-25,2.0458122433122798e-33,0.000783439870177943,0.003749132317145914,0.000641005857247761
