EGR,FB,phi,AF,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.3,0.0004,0.8962377988235043,1.1157753012790856,99999.99999999999,299.9999999999998,2085.2643012628873,0.29946078792256964,0.000526885381951561,2.248867380662062e-19,0.02013406126644419,0.08409773891735445,0.16456242581490665
0.3,0.20040000000000002,0.7926642595898539,1.2615681707630255,99999.99999999996,299.9999999999999,1956.41302990123,0.27219331120962076,0.0005483835325062756,2.3507841310137677e-21,0.03919546228723714,0.07227495813703443,0.15595660608197479
0.3,0.1004,0.6923334491957295,1.4443907067637436,99999.99999999997,299.9999999999998,1805.032530326541,0.179702673924453,0.0007229223841812309,2.2057124105500774e-23,0.05909969688707085,0.0663293869900482,0.13595460422853284
0.3,0.0004,0.7938577985400964,1.2596714447335515,99999.99999999997,300.0000000000001,1956.296452865717,0.2416117583110435,0.0005957121314735317,2.211162844587815e-21,0.03890130702944104,0.07702761681903446,0.14947563497826016
0.3,0.20040000000000002,0.6916409952138787,1.445836795273777,99999.99999999999,299.9999999999999,1806.834319721892,0.19357602433344254,0.0006830715417733562,2.221724800564802e-23,0.0590579753752091,0.06416960444425612,0.13901322292873128
0.3,0.1004,0.7933103403550236,1.2605407356123435,99999.99999999997,300.0000000000001,1956.225469431287,0.2555732656880485,0.0005733964829908324,2.2737065983177172e-21,0.03904824194292561,0.0748105039356025,0.1525733761390866
0.3,0.0004,0.6929423349110202,1.4431215263076813,100000.0,300.0,1804.9094796746826,0.1686185199605144,0.0007564554456263668,2.2792087341477504e-23,0.05896634306630861,0.06830526321123302,0.13309556811435136
0.3,0.0004,1.00042488186321,0.9995752985847186,100000.00000000001,300.0,2164.995524433309,0.332967045814409,0.0004983264569274617,2.95498357585325e-17,0.005479658047259252,0.08569452216299968,0.1769252779017067
0.3,0.20040000000000002,1.0001921187139502,0.9998079181885604,99999.99999999997,299.9999999999998,2165.135744249073,0.374776602116423,0.00046235706059566005,2.990865526757329e-17,0.005709747268081028,0.08028833351676157,0.18473240259686266
0.3,0.20040000000000002,0.8954130612499945,1.1168030077694002,100000.0,300.0,2084.4424308240614,0.33547837245233814,0.0004885145661415123,2.3074780069125623e-19,0.02044497868399929,0.07887082549793226,0.17173698281845812
0.3,0.1004,1.0003455076244552,0.9996546117098325,100000.00000000001,299.9999999999998,2165.3516250130465,0.3523734615439634,0.0004805116270687851,3.043934470172473e-17,0.005547859669892217,0.0831084545702253,0.18075344525120834
0.3,0.0004,1.0533186475436085,0.9493803250631229,99999.99999999999,299.99999999999966,2168.3354306426418,0.33925514549531555,0.0004906498493080217,4.013653254521123e-16,0.0017326324708573022,0.08198703448610759,0.1808973847812229
0.3,0.1004,0.8958768616970842,1.116224832624511,99999.99999999996,300.0,2085.365965330281,0.3160845557248814,0.000508157518039383,2.31721588163267e-19,0.020221559957281598,0.08164388130049799,0.16809844355703532
0.3,0.1004,1.053378286939125,0.949326573747566,99999.99999999999,299.9999999999998,2169.062063561099,0.35909201866601004,0.0004730826878937036,4.087776076703136e-16,0.0017748036231088552,0.07952037001089217,0.18470280960029614
0.3,0.1004,1.1071862059786468,0.9031904431252334,100000.00000000001,299.9999999999999,2146.805133730941,0.35651695555398655,0.0004697908763551041,4.521523856719425e-15,0.0004184481841716736,0.07332748733297582,0.18625102018530598
0.3,0.0004,1.106997063547562,0.903344762989098,99999.99999999997,299.9999999999998,2145.3499853299104,0.33658325085399177,0.00048782224672342474,4.462312975816182e-15,0.00040322936983004735,0.07560164307250737,0.18264057757394148
0.3,0.20040000000000002,1.1074223703802217,0.902997832395837,99999.99999999996,299.9999999999999,2148.618046471998,0.3818401660036376,0.00045003837018504504,4.6041400421457765e-15,0.0004360874655701547,0.07063715805442256,0.19052163397358524
0.3,0.20040000000000002,1.0534149796669838,0.94929350664458,100000.0,299.99999999999966,2169.7000200970897,0.3830879135123474,0.0004540998021223325,4.091209481798431e-16,0.001843224717853492,0.07677608091302252,0.1887440967497968
0.3,0.20040000000000002,1.2181366366002646,0.8209259700052459,99999.99999999993,300.0,2073.8054882122824,0.34026164340287246,0.0004784822598687306,1.5020306343208614e-13,3.5553506649937367e-05,0.05820313512722476,0.1884857521720847
0.3,0.1004,1.2175701959090082,0.8213078829951356,99999.99999999999,300.0000000000001,2070.8814624675156,0.31556585463436615,0.0005042968947999266,1.4936844183430782e-13,3.318868645473802e-05,0.06046924243903492,0.1844731095302715
0.3,0.0004,1.2170768644674572,0.8216407929482407,99999.99999999996,299.9999999999998,2067.445196654031,0.2946136260095963,0.0005288432940253931,1.4917111253668203e-13,3.063357723952411e-05,0.06247068812144553,0.18091763483827789
